NCT_ID,Drug_Clean,Disease,plausibility,primary_target,causal_chain,leak_check
NCT04774380,etoposide,Lung Cancer,72.0,Topoisomerase II,"Lung cancer (label generic, includes SCLC where etoposide is a backbone) is proliferative; topo II inhibition kills dividing tumor cells. Etoposide is a standard agent especially for small-cell lung cancer; mechanistically on the proliferation causal path.","clean; generic 'Lung Cancer' label, scored on cytotoxic fit assuming SCLC-type sensitivity"
NCT04878016,etoposide,SCLC,80.0,Topoisomerase II,SCLC is a rapidly proliferating neuroendocrine tumor; topo II-mediated DSBs kill dividing cells. Etoposide is a foundational SCLC agent; mechanistically on the proliferation causal path.,clean
NCT05137184,fentanyl,Acute Pain; Ambulances,88.0,Mu-opioid receptor (MOR) agonist,MOR agonism -> inhibition of ascending nociceptive transmission (spinal/supraspinal) -> potent analgesia. Acute nociceptive pain is directly modulated by opioid receptor signaling; mechanism is squarely on the pain-transmission pathway. Highly effective analgesic for acute pain.,clean
NCT04629703,fostamatinib,pneumonia,15.0,Spleen tyrosine kinase (SYK),"SYK sits in innate/immune signaling, but pneumonia is driven by pathogen invasion and host inflammatory response; SYK inhibition does not clear infection and could blunt useful immunity. No credible causal link to resolving pneumonia (unless an anti-inflammatory hypothesis for severe inflammatory lung injury, which is speculative). Mechanism-disease mismatch.",clean
NCT04615624,furosemide,preeclampsia,22.0,Na-K-2Cl cotransporter (NKCC2) in thick ascending limb of loop of Henle,"Loop diuresis -> natriuresis/volume reduction -> lowers BP and edema. Preeclampsia core pathophysiology is placental ischemia driving antiangiogenic factors (sFlt-1) and endothelial dysfunction, with plasma volume that is actually CONTRACTED despite edema. Diuresis treats the BP/edema symptom but does not modify the placental/endothelial causal driver; can worsen intravascular depletion. Off the causal path.",clean
NCT04752475,furosemide,preeclampsia,22.0,Na-K-2Cl cotransporter (NKCC2) in thick ascending limb of loop of Henle,"Loop diuresis -> natriuresis/volume reduction -> lowers BP and edema. Preeclampsia core pathophysiology is placental ischemia driving antiangiogenic factors (sFlt-1) and endothelial dysfunction, with plasma volume that is actually CONTRACTED despite edema. Diuresis treats the BP/edema symptom but does not modify the placental/endothelial causal driver; can worsen intravascular depletion. Off the causal path.",clean
NCT05093621,furosemide,heart failure,77.0,Na-K-2Cl cotransporter (NKCC2),"Loop diuresis -> reduces preload and pulmonary/systemic congestion in heart failure. Congestion is the core symptomatic pathophysiology; directly relieves it (symptom control), without modifying underlying myocardial disease progression.",clean
NCT04799249,gemcitabine,Metastatic Triple-Negative Breast Cancer,70.0,Ribonucleotide reductase + DNA polymerase (nucleoside analog),"Metastatic TNBC (duplicate disease concept): proliferation is the driver and TNBC lacks targeted drivers, so S-phase DNA-synthesis blockade hits the central process. Gemcitabine is a mechanistically rational cytotoxic for this subtype.",clean
NCT04935359,gemcitabine,Metastatic Pancreatic Ductal Adenocarcinoma,80.0,Ribonucleotide reductase + DNA polymerase (nucleoside analog),Metastatic pancreatic ductal adenocarcinoma: gemcitabine blocks DNA replication in dividing PDAC cells; it is the mechanistically appropriate antimetabolite backbone for this proliferative tumor. Strong fit to the proliferative driver.,clean
NCT04842604,glasdegib,Acute Myeloid Leukemia; Myelodysplastic Syndrome; Chronic Myelomonocytic Leukemia,48.0,Smoothened (SMO) / Hedgehog pathway inhibitor,"glasdegib -> SMO inhibition -> blocks Hedgehog-dependent leukemic stem cell survival in AML/MDS/CMML. Same as above: Hedgehog is a supportive, not dominant, driver in these myeloid malignancies; benefit is adjunctive. Peripheral-to-moderate causal node.",clean
NCT04918862,granisetron,,,,,
NCT05087615,granisetron,"Bariatric Surgery Candidate; Perioperative Complication; Nausea; Vomiting, Postoperative; Drug Effect",76.0,5-HT3 receptor (antagonist),"5-HT3 antagonism -> blocks serotonin signaling at vagal afferents/area postrema -> suppresses emetic reflex. PONV is a real serotonin-mediated vomiting pathway, so mechanism is on-target for the nausea/vomiting endpoint in surgical patients.",clean
NCT04750707,hydroxyurea,Sickle Cell Anemia in Children,85.0,Fetal hemoglobin (HbF) induction; secondarily RNR inhibition/cytoreduction,"HU induces HbF -> HbF dilutes/disrupts HbS polymerization -> reduces sickling, vaso-occlusion, and hemolysis, the core causal mechanism of sickle cell disease. Mechanism sits squarely on the disease's molecular driver (HbS polymerization), with clear path to clinical endpoints (crisis reduction). Strong causal fit.",clean
NCT04819776,iloperidone,bipolar I disorder,62.0,D2 / 5-HT2A receptor antagonist (atypical antipsychotic),"D2/5-HT2A blockade -> dampens dopaminergic/serotonergic signaling. In bipolar I mania, mesolimbic dopamine hyperactivity is a validated driver; D2 antagonism is the established class mechanism for acute mania. On-path for manic episodes, weaker for full mood-cycling control.",clean
NCT04684238,isoflurane,sedation,80.0,GABA-A receptor potentiation / general volatile anesthetic (multi-channel CNS depressant),"Volatile anesthetic -> enhanced inhibitory neurotransmission and reduced neuronal excitability -> reliable, dose-controllable sedation. Sedation is a direct pharmacodynamic readout of the anesthetic mechanism; target effect IS the clinical endpoint.",clean
NCT04939649,ketamine,Major Depression,76.0,NMDA glutamate receptor (non-competitive antagonist); downstream AMPA/BDNF/mTOR synaptogenesis,"Ketamine NMDA blockade triggers a glutamate surge, AMPA activation and rapid synaptogenesis (BDNF/mTOR) -> major depression involves impaired synaptic plasticity and glutamatergic dysfunction. This is a mechanistically validated, rapid-acting antidepressant pathway hitting a core node of depression pathophysiology. Strong driver-pathway fit for the depression endpoint.",clean
NCT04955158,ketamine,Sore Throat,46.0,NMDA glutamate receptor (non-competitive antagonist); local mucosal analgesia,Topical/systemic ketamine for postoperative sore throat acts via NMDA-mediated analgesia and local anti-inflammatory/analgesic effect on pharyngeal mucosa -> post-intubation sore throat is local nociceptive/inflammatory irritation. Mechanism plausibly relieves the pain symptom but is peripheral and modest relative to the localized inflammatory cause; fair fit.,clean
NCT04607122,landiolol,atrial fibrillation,78.0,Ultra-short-acting selective beta-1 adrenoceptor antagonist,"Landiolol -> beta-1 blockade -> slowed AV-nodal conduction -> ventricular rate control in atrial fibrillation. For a rate-control endpoint this is direct and mechanistically sound (acting on the AV node, the node controlling ventricular response); it does not address atrial substrate/rhythm conversion, but rate control is a legitimate reachable endpoint.",clean
NCT04874935,lansoprazole,Breast Cancer,9.0,Gastric H+/K+-ATPase (proton pump) inhibitor,"Lansoprazole -> irreversible proton-pump inhibition -> acid suppression. Breast cancer growth/survival is driven by ER/HER2/PI3K oncogenic signaling, not gastric acid. Proposed anticancer links (V-ATPase, autophagy modulation) are speculative and not the primary target. Gross target-to-disease mismatch for a registrational oncology endpoint.",clean
NCT05417997,lansoprazole,COVID-19 Respiratory Infection; FLU; Cold; Influenza; Bacterial Pneumonia; COVID-19 Pneumonia,7.0,Gastric H+/K+-ATPase proton pump inhibitor,"Lansoprazole -> acid suppression. The disease cluster (COVID/influenza/cold/bacterial pneumonia) is driven by viral/bacterial replication and host immune response; gastric acid suppression has no credible causal link to respiratory pathogen clearance (if anything, acid suppression can raise pneumonia risk). Target not on the causal pathway.",clean
NCT07079540,lansoprazole,Reflux Esophagitis,90.0,Gastric H+/K+-ATPase proton pump inhibitor,Lansoprazole -> acid suppression -> reduced acid reflux injury -> healing of reflux esophagitis. Acid is the direct cause of reflux esophagitis; PPI acts on the causal driver. Strong mechanistic fit.,clean
NCT04591353,lidocaine,total hip arthroplasty,72.0,voltage-gated sodium channels (Nav); systemic perioperative analgesia,"lidocaine blocks Nav and reduces nociceptive input/central sensitization -> total hip arthroplasty involves substantial surgical nociceptive signaling driving postoperative pain; perioperative IV/regional lidocaine targets that transmission directly, on the acute-pain causal path with reachable analgesia/recovery endpoints.",clean
NCT04775225,lidocaine,juvenile idiopathic arthritis,12.0,voltage-gated sodium channels (Nav),"lidocaine blocks Nav -> juvenile idiopathic arthritis is an autoimmune/inflammatory synovial disease driven by immune dysregulation; Nav blockade has no effect on the autoimmune/inflammatory driver. Use is at most local procedural analgesia, not disease modification -> gross mechanistic mismatch to the disease's causal pathway.",clean
NCT04985942,lumateperone,Major Depressive Disorder,58.0,"Serotonin 5-HT2A antagonist / dopamine D2 receptor modulator (presynaptic agonist, postsynaptic antagonist) with serotonin transporter inhibition","5-HT2A/D2/SERT modulation -> monoaminergic neurotransmission balance -> mood circuits in MDD. Monoaminergic/glutamatergic modulation is a well-trodden, partially validated antidepressant mechanism; atypical-antipsychotic-class agents have real but adjunctive antidepressant effects. On the mood circuit but not the core unknown driver of MDD.",clean
NCT05061706,lumateperone,Major Depressive Disorder,58.0,"Serotonin 5-HT2A antagonist / dopamine D2 receptor modulator (presynaptic agonist, postsynaptic antagonist) with serotonin transporter inhibition","5-HT2A/D2/SERT modulation -> monoaminergic neurotransmission balance -> mood circuits in MDD. Monoaminergic/glutamatergic modulation is a well-trodden, partially validated antidepressant mechanism; atypical-antipsychotic-class agents have real but adjunctive antidepressant effects. On the mood circuit but not the core unknown driver of MDD.",clean
NCT05061719,lumateperone,Major Depressive Disorder,58.0,"Serotonin 5-HT2A antagonist / dopamine D2 receptor modulator (presynaptic agonist, postsynaptic antagonist) with serotonin transporter inhibition","5-HT2A/D2/SERT modulation -> monoaminergic neurotransmission balance -> mood circuits in MDD. Monoaminergic/glutamatergic modulation is a well-trodden, partially validated antidepressant mechanism; atypical-antipsychotic-class agents have real but adjunctive antidepressant effects. On the mood circuit but not the core unknown driver of MDD.",clean
NCT04786873,macimorelin,isolated growth hormone deficiency type IA,30.0,Ghrelin receptor (GHSR-1a) agonist; stimulates pituitary GH release,"GHSR agonism -> somatotroph GH release. In isolated GH deficiency type IA, the defect is a GH1 gene deletion (no GH produced at all); a secretagogue acting upstream cannot rescue absent GH synthesis. Mechanism is on the right axis but breaks at the genetic null — no GH to release. Diagnostic utility limited; therapeutic causal link weak for this genetic subtype.",clean
NCT04510194,metformin,SARS-CoV-2 Infection,24.0,AMPK activation / complex I inhibition (metabolic); proposed anti-inflammatory/mTOR effects,"Metformin -> AMPK/mTOR modulation -> hypothesized dampening of inflammatory/immunometabolic response in SARS-CoV-2. Core viral pathophysiology is replication and dysregulated immune response; metformin's glucose-lowering target is not on that causal driver path, only a peripheral pleiotropic/host-metabolism node.",clean
NCT04885530,metformin,Covid19,17.0,Mitochondrial complex I / AMPK (metabolic; anti-inflammatory / mTOR modulation),"COVID-19 is an acute viral infection with hyperinflammatory sequelae. Metformin has no antiviral target; proposed benefit is via AMPK/mTOR-mediated dampening of inflammation/metabolic stress - a peripheral, speculative immunometabolic node, not the viral-replication or core immunopathology driver.",clean
NCT04221750,metformin,Frailty; Sarcopenic Obesity; Aging,35.0,Mitochondrial complex I / AMPK / mTOR (metabolic; nutrient-sensing),"Frailty/sarcopenic-obesity/aging: AMPK and mTOR nutrient-sensing pathways are mechanistically implicated in muscle metabolism and aging. However metformin can blunt exercise-induced muscle adaptation, and its net causal effect on muscle/frailty is uncertain; engages a plausible but non-dominant, possibly double-edged node.",clean
NCT04807348,metformin,Type 2 Diabetes,87.0,Hepatic gluconeogenesis suppression; insulin sensitizer,"Metformin -> lowers hepatic glucose production, improves insulin sensitivity -> directly addresses T2D hyperglycemia. On causal pathway, first-line standard of care; endpoint reachable.",clean
NCT05137184,methoxyflurane,Acute Pain; Ambulances,80.0,"Volatile anesthetic; CNS GABA-A/glycine potentiation, NMDA antagonism producing analgesia/sedation",Inhaled methoxyflurane -> CNS depression of pain transmission -> blunts acute nociceptive signaling. Pain perception IS the target pathophysiology in acute traumatic/procedural pain; mechanism directly produces analgesia on a symptomatic endpoint (pain score). Direct symptomatic match.,clean
NCT04636671,methylprednisolone,Covid19; Viral Pneumonia Human Coronavirus; Severe Acute Respiratory Syndrome,60.0,Glucocorticoid receptor agonist; anti-inflammatory,Severe COVID/viral pneumonia with hyperinflammation -> glucocorticoid suppresses immune-mediated alveolar injury. Engages the inflammatory driver of severe disease; does not address viral replication. Credible for the immunopathology subset. Partial-to-good.,clean
NCT04909918,methylprednisolone,Covid19,58.0,Glucocorticoid receptor agonist; anti-inflammatory/immunosuppressant,COVID-19 (severe/hyperinflammatory) -> glucocorticoid dampens the dysregulated cytokine response. Benefit hinges on disease being in the inflammatory phase; in mild/early disease immunosuppression is off-pathway or harmful. Mechanistically credible for severe subset. Partial-to-good.,clean
NCT05417997,methylprednisolone,COVID-19 Respiratory Infection; FLU; Cold; Influenza; Bacterial Pneumonia; COVID-19 Pneumonia,58.0,Glucocorticoid receptor agonist; broad anti-inflammatory/immunosuppressant,"Viral/bacterial pneumonia with hyperinflammation -> glucocorticoid suppresses cytokine-driven lung injury (esp. severe COVID/pneumonia) -> can reduce inflammatory pathology. Anti-inflammation addresses the immunopathology component, a real but partial node (does not clear pathogen; benefit depends on severity). Plausible for the inflammatory-injury subset.",clean
NCT05087615,metoclopramide,"Bariatric Surgery Candidate; Perioperative Complication; Nausea; Vomiting, Postoperative; Drug Effect",74.0,Dopamine D2 receptor antagonist + 5-HT4 agonist (prokinetic/antiemetic),D2 antagonism at CTZ -> antiemetic; prokinetic gastric emptying. Postoperative/perioperative nausea & vomiting core mechanism is emetogenic D2/5-HT signaling; metoclopramide directly engages the emetic pathway. Direct mechanistic fit for the PONV/nausea endpoint.,clean
NCT04624750,mexiletine,myotonic dystrophy type 1,74.0,"Voltage-gated sodium channel (Nav, class Ib) blocker",Sodium channel blockade -> reduces repetitive muscle membrane firing. Myotonic dystrophy type 1 myotonia results from chloride-channel dysfunction causing membrane hyperexcitability; Nav blockade directly damps the abnormal sustained depolarizations producing myotonia. Strong mechanistic fit for the myotonia symptom endpoint.,clean
NCT04684238,midazolam,sedation,94.0,GABA-A receptor benzodiazepine site (PAM),GABA-A PAM -> CNS depression -> procedural sedation. The endpoint (achieving sedation) is the direct pharmacodynamic action; mechanism IS the intended clinical state.,clean
NCT04939649,midazolam,Major Depression,18.0,GABA-A receptor positive allosteric modulator (benzodiazepine),GABA-A potentiation -> sedation/anxiolysis. Major depression core pathophysiology is monoaminergic/glutamatergic-neuroplasticity dysfunction; GABA-A benzodiazepine modulation is not an established antidepressant driver (used here perhaps as active comparator/anxiolytic adjunct). Off the depression causal pathway.,clean
NCT04515186,miltefosine,mania,7.0,"Alkylphosphocholine; perturbs phospholipid/membrane metabolism and Akt/PI3K signaling, induces apoptosis-like death in parasites","membrane-phospholipid disruption -> antiparasitic/antileishmanial cell death. Mania's core pathophysiology (monoaminergic dysregulation, ion channel/signaling abnormalities) has no credible link to alkylphosphocholine membrane mechanism. Gross target-disease mismatch.",clean
NCT05065190,nintedanib,"Lung Diseases, Interstitial",74.0,VEGFR/FGFR/PDGFR multi-kinase (anti-fibrotic),Progressive fibrosing interstitial lung diseases share the same fibroblast-RTK-driven fibrotic mechanism as IPF; nintedanib targets the conserved pro-fibrotic signaling. On the fibrotic driver pathway across ILD subtypes -> slows lung function decline. Strong mechanistic fit.,clean
NCT03652870,nortriptyline,Parkinson's Disease,20.0,"Norepinephrine (and serotonin) reuptake inhibitor (tricyclic; also anticholinergic, antihistaminergic)",Parkinson's disease core driver is nigrostriatal dopaminergic neurodegeneration/alpha-synuclein. Nortriptyline modulates NE/5-HT -> can address comorbid depression but does not engage the dopaminergic/synuclein driver. Off the neurodegenerative causal path; symptomatic (mood) at best for a PD-progression endpoint.,clean
NCT05087615,ondansetron,"Bariatric Surgery Candidate; Perioperative Complication; Nausea; Vomiting, Postoperative; Drug Effect",85.0,5-HT3 serotonin receptor (antagonist),5-HT3 antagonism -> blocks vagal/CTZ emetic signaling -> prevents postoperative nausea and vomiting. PONV is mechanistically a 5-HT3-mediated reflex; target is on the core causal driver of the emetic endpoint.,clean
NCT04765371,prednisolone,Coronavirus Infection,68.0,Glucocorticoid receptor -> anti-inflammatory program,"GR activation -> dampening of hyperinflammatory/cytokine response in COVID-19. In severe COVID the dysregulated host inflammation drives lung injury, and corticosteroid suppression targets that causal arm. On-pathway for the inflammatory phase (less so for viral replication phase); good plausibility for severe-disease endpoint.",clean
NCT04887506,prednisone,Prostate Cancer,40.0,Glucocorticoid receptor (NR3C1),GR agonism -> mild suppression of adrenal androgen precursors + symptom palliation -> prostate cancer core driver is AR-signaling; steroid alone modestly affects androgen feed and is largely supportive/palliative rather than on the dominant causal axis.,clean
NCT04711837,propofol,,,,,
NCT04958746,propofol,,,,,
NCT04940689,remifentanil,,,,,
NCT04800172,roflumilast,obesity,28.0,Phosphodiesterase-4 (PDE4),"PDE4 inhibition -> raised cAMP, modest effects on lipolysis/energy expenditure and weight (a known class side effect of weight loss). Obesity's core energy-balance/adipose drivers are not centrally governed by PDE4; any weight effect is a peripheral metabolic side consequence, not engagement of the disease driver. Weak mechanistic fit to a registrational obesity endpoint.",clean
NCT04676334,rucaparib,Metastatic Castration-Resistant Prostate Cancer; Ovarian Cancer; Epithelial Ovarian Cancer; Fallopian Tube Cancer; Peritoneal Cancer; Other Solid Tumor,70.0,PARP1/2,"PARP inhibition exploits HR deficiency; in mCRPC a meaningful subset carries BRCA2/DDR alterations, and in ovarian/fallopian/peritoneal cancers HRD is common — these are validated synthetic-lethal contexts. Target sits on the causal DNA-repair-defect driver in the HRD subset across this solid-tumor basket. Good mechanism fit for the enriched populations.",clean
NCT04921969,ruxolitinib,Atopic Dermatitis,82.0,JAK1/JAK2 tyrosine kinases,JAK1/2 inhibition -> blocks IL-4/IL-13/IFN-gamma cytokine signaling driving Th2/Th1 skin inflammation -> reduced atopic dermatitis lesions/itch. The JAK-STAT axis is central to AD pathophysiology (esp. topical exposure); strong mechanistic fit.,clean
NCT04565990,selexipag,"Hypertension, Pulmonary",80.0,Prostacyclin (IP) receptor agonist,"IP-receptor agonism -> vasodilation/antiproliferation of pulmonary arterioles -> lowered pulmonary vascular resistance. For pulmonary arterial hypertension, prostacyclin-pathway deficiency and vascular remodeling are core validated drivers; strong on-pathway fit.",clean
NCT04304261,sitagliptin,"Diabetes Mellitus, Type 2; Cognitive Functions Confusion",62.0,Dipeptidyl peptidase-4 (DPP-4),"Primary glycemic mechanism (incretin-mediated insulin/glucagon control) is on-pathway for the T2DM component. The added cognitive-function/confusion endpoint is more speculative (proposed via glycemic control or incretin neuroprotection), a peripheral/indirect link. Glycemic benefit strong; cognitive endpoint weaker, so overall moderate-high anchored on the diabetes core.",clean
NCT06413082,spironolactone,Hypertension,82.0,Mineralocorticoid receptor antagonist,"MR antagonism blocks aldosterone-mediated sodium retention and vascular/renal effects -> lowers blood pressure, especially in aldosterone-driven/resistant hypertension. Hypertension's RAAS/aldosterone axis is a validated causal driver; the target is squarely on-pathway for the BP endpoint. Direct and strong.",clean
NCT04947631,tadalafil,Benign Prostatic Hyperplasia,68.0,PDE5 inhibitor,"BPH LUTS: PDE5 inhibition increases cGMP, relaxing prostatic/bladder smooth muscle and improving symptom scores. Mechanistically directed at the smooth-muscle-tone driver of LUTS; registrational symptom endpoint reachable.",clean
NCT06754410,tamsulosin,Lower Ureteric Stones,62.0,Alpha-1A adrenergic receptor,Alpha-1A antagonist -> relaxation of smooth muscle in distal ureter/ureterovesical junction -> facilitated passage of ureteric stone. Ureteral smooth-muscle tone is a real contributor to stone-passage obstruction; medical expulsive therapy is mechanistically plausible for distal stones though effect size is modest. Reasonable on-mechanism contributor.,clean
NCT05385744,teriflunomide,Multiple Sclerosis,78.0,DHODH,Same: DHODH inhibition -> antiproliferative effect on activated lymphocytes -> dampened autoimmune demyelination -> reduced relapses/disability in MS. Direct on the autoimmune driver.,clean
NCT04908787,topotecan,Ovarian Cancer,62.0,Topoisomerase I (inhibitor),"Topo-I inhibition -> replication-associated DNA breaks -> apoptosis in dividing ovarian-cancer cells. Established cytotoxic node for proliferating tumor; mechanistically on the proliferation driver, modest tumor selectivity.",clean
NCT05093621,torsemide,heart failure,70.0,Na-K-2Cl cotransporter (NKCC2) loop diuretic,"NKCC2 inhibition -> natriuresis/diuresis -> reduced volume overload and congestion, the proximate driver of HF symptoms/decompensation. Directly relieves congestion; doesn't reverse the underlying pump failure but is a central guideline mechanism for the congested syndrome.",clean
NCT04635007,tranexamic acid,"Cesarean Section Complications; Blood Loss, Surgical; Misoprostol; Tranexamic Acid",85.0,plasminogen/plasmin (antifibrinolytic),"Cesarean/postpartum surgical blood loss -> uterine bleeding involves hyperfibrinolysis; TXA inhibits plasmin, stabilizes clot, reduces hemorrhage. Direct on-mechanism for obstetric hemorrhage.",clean
NCT04799249,trilaciclib,Metastatic Triple-Negative Breast Cancer,34.0,CDK4/6 inhibitor,"CDK4/6 inhibition -> transient cell-cycle arrest of hematopoietic stem/progenitor cells to protect bone marrow from chemo (myelopreservation), NOT direct anti-tumor in TNBC -> in metastatic TNBC the trial endpoint relates to tumor outcome/survival; trilaciclib's mechanism is supportive (chemoprotection) and does not engage the TNBC oncogenic driver. As a treatment of the cancer pathophysiology the causal link is weak; benefit on a registrational tumor endpoint via this mechanism is tenuous.",clean
NCT04707768,vadadustat,anemia of chronic kidney disease,85.0,HIF prolyl-hydroxylase (PHD) inhibitor,PHD inhibition -> HIF stabilization -> endogenous EPO production -> CKD anemia is specifically caused by deficient renal EPO production. Vadadustat directly substitutes for the missing EPO drive. Squarely on the causal driver of CKD-associated anemia.,clean
NCT05110157,valbenazine,Schizophrenia,30.0,VMAT2 inhibitor,VMAT2 inhibition -> lowers presynaptic dopamine -> schizophrenia core pathophysiology involves dopaminergic dysregulation (mesolimbic hyperdopaminergia) but is treated at postsynaptic D2 receptors; VMAT2 inhibition is not the validated mechanism for psychosis and risks worsening negative symptoms via dopamine depletion. Off the primary causal/therapeutic node for schizophrenia efficacy (more relevant as adjunct/TD). Weak fit to a psychosis endpoint.,clean
NCT05093933,vericiguat,heart failure with reduced ejection fraction,76.0,soluble guanylate cyclase (sGC stimulator),"Vericiguat sGC stimulator -> in HFrEF, impaired NO-sGC-cGMP signaling contributes to myocardial and vascular dysfunction; restoring cGMP improves cardiac/vascular function. Targets a validated contributing driver pathway in the reduced-EF phenotype.",clean
NCT05033886,fezolinetant,hot flashes,85.0,Neurokinin-3 (NK3) receptor antagonist,"NK3R antagonism on hypothalamic KNDy neurons -> normalization of estrogen-withdrawal-driven hyperactivity of thermoregulatory KNDy signaling -> reduced vasomotor symptoms (hot flashes). The KNDy/NK3 pathway is a mechanistically established causal driver of menopausal hot flashes; NK3 antagonism sits directly on that thermoregulatory node. Strong, target-validated fit.",clean
NCT04776148,lenvatinib,Metastatic Colorectal Cancer,42.0,"Multi-kinase inhibitor: VEGFR1-3, FGFR1-4, PDGFRa","mCRC growth is partly angiogenesis-dependent (VEGF axis validated by other anti-angiogenics) but core drivers are KRAS/BRAF/WNT; VEGFR blockade addresses a contributory vascular node, modest incremental benefit on top of established CRC biology.",clean
NCT04776148,regorafenib,Metastatic Colorectal Cancer,74.0,"Multikinase: VEGFR1-3, TIE2, RAF, KIT, PDGFR, FGFR","Same as CRC: anti-angiogenic + anti-proliferative kinase blockade against metastatic colorectal cancer driver pathways (VEGF-dependent angiogenesis, MAPK signaling). On causal pathway; OS benefit plausible in metastatic setting.",clean
NCT05064059,regorafenib,Colorectal Cancer,74.0,"Multikinase: VEGFR1-3, TIE2, KIT, RET, RAF, PDGFR, FGFR","Inhibition of angiogenic (VEGFR/TIE2) and oncogenic kinases -> blocks tumor angiogenesis and proliferative signaling in colorectal cancer -> on the causal driver pathway for CRC, which is angiogenesis-dependent and partly RAS/RAF/MAPK driven. Broad anti-tumor mechanism well-matched; meaningful PFS/OS endpoints reachable in refractory CRC.",clean
NCT04429022,acetaminophen,"Pain, Postoperative",68.0,Central antinociceptive pathways (analgesia),Antinociceptive action -> postoperative pain is acute nociceptive/inflammatory pain. Acetaminophen has solid evidence as a component of multimodal postoperative analgesia; mechanism matches endpoint though magnitude is modest alone.,clean
NCT04590586,apremilast,COVID-19,24.0,Phosphodiesterase-4 (PDE4) inhibitor,"PDE4 inhibition -> raised cAMP -> dampened TNF/IL-cytokine output. COVID-19 severe disease is driven by hyperinflammation, so broad cytokine modulation is mechanistically adjacent, but apremilast is a mild immunomodulator (not a potent anti-cytokine biologic) and does nothing against viral replication. Peripheral, weak link to the dominant drivers of severe COVID outcomes.",clean
NCT04401579,baricitinib,COVID-19,68.0,JAK1/JAK2 inhibitor,"Baricitinib -> JAK1/2 inhibition -> dampens the hyperinflammatory cytokine response (IL-6, IFN, GM-CSF signaling) in severe COVID-19. Severe COVID mortality driver is dysregulated host cytokine-mediated inflammation; JAK inhibition targets that immunopathology (plus possible AAK1 antiviral entry effect). On the causal path for the inflammatory phase; mortality/recovery endpoint plausibly reachable.",clean
NCT04421027,baricitinib,COVID-19,68.0,JAK1/JAK2 inhibitor,"Baricitinib -> JAK1/2 inhibition -> dampens the hyperinflammatory cytokine response (IL-6, IFN, GM-CSF signaling) in severe COVID-19. Severe COVID mortality driver is dysregulated host cytokine-mediated inflammation; JAK inhibition targets that immunopathology (plus possible AAK1 antiviral entry effect). On the causal path for the inflammatory phase; mortality/recovery endpoint plausibly reachable.",clean
NCT04640168,baricitinib,COVID-19,68.0,JAK1/JAK2 inhibitor,"Baricitinib -> JAK1/2 inhibition -> dampens the hyperinflammatory cytokine response (IL-6, IFN, GM-CSF signaling) in severe COVID-19. Severe COVID mortality driver is dysregulated host cytokine-mediated inflammation; JAK inhibition targets that immunopathology (plus possible AAK1 antiviral entry effect). On the causal path for the inflammatory phase; mortality/recovery endpoint plausibly reachable.",clean
NCT04285567,bendamustine,Chronic Lymphocytic Leukemia,82.0,DNA alkylating agent (bifunctional nitrogen mustard),"Bendamustine -> DNA cross-linking/strand breaks -> apoptosis of malignant B-lymphocytes. CLL is a clonal B-cell malignancy; alkylator cytotoxicity directly reduces the malignant clone, on the tumor-burden causal path. Established CLL agent; response/PFS endpoint reachable.",clean
NCT03917914,bisoprolol,COPD,12.0,Beta-1 adrenergic receptor antagonist (cardioselective),"Beta-1 blockade reduces heart rate/contractility/sympathetic drive. COPD is airway obstruction/inflammation driven; beta-1 blockade does not address airflow limitation and historically was avoided for bronchospasm risk. Off the pulmonary causal pathway (any benefit would be on comorbid cardiac risk, not COPD itself).",clean
NCT05175066,bisoprolol,Cardiomyopathies; Chemotherapy Effect; Diastolic Dysfunction; Systolic Dysfunction,68.0,Beta-1 adrenergic receptor antagonist,"Beta-1 blockade attenuates sympathetic overdrive, reduces wall stress and adverse remodeling. In cardiomyopathy/chemotherapy-related cardiac dysfunction, neurohormonal (sympathetic) activation is a validated driver of progression; beta-blockade is a guideline mechanism for cardioprotection/remodeling. On a validated causal node for ventricular dysfunction.",clean
NCT04258839,brexpiprazole,autism spectrum disorder,22.0,"D2/5-HT1A partial agonist, 5-HT2A antagonist","Monoamine receptor modulation -> dopamine/serotonin signaling -> ASD core pathophysiology is neurodevelopmental/synaptic, not monoaminergic. Can blunt irritability/aggression (associated symptoms) but not the causal driver of autism. Symptomatic at best for a non-core endpoint.",clean
NCT03342027,bupropion,HIV; Smoking Cessation,76.0,Dopamine/norepinephrine reuptake inhibitor (DAT/NET); nicotinic acetylcholine receptor antagonist,NET/DAT inhibition + nAChR antagonism -> sustains dopaminergic tone and blunts nicotine's reinforcing/withdrawal effects -> reduces craving and aids smoking cessation. Mechanism engages the nicotine-reward/withdrawal circuitry that drives the dependence; direct on-pathway fit for smoking cessation (HIV comorbidity does not alter the mechanism).,clean
NCT04388319,bupropion,Smoking Cessation,78.0,nAChR antagonist + DAT/NET reuptake inhibitor,Same mechanism as nicotine dependence: blunting nicotine reward and supporting dopaminergic tone -> facilitates smoking cessation. Mechanism sits on the nicotine-reinforcement driver pathway. Direct fit.,clean
